family_id,log_abs_j,j_invariant,A_fit_R13_free,A_stderr_R13_free,delta_R13_free,residual_mean,residual_std,residual_at_max_n,alpha_fixedA,beta_fixedA,gamma_fixedA,n_points
17,4.1740496690737485,63.978059650325676,7.996232455547922,7.892576280991663e-05,-0.003767544452077942,4.061935972761906e-13,0.0012980644927272577,0.0023188819993720244,7.998169963093294,1.6729585143698693,-9.717352417089453,48
18,3.2325228405480404,24.343514031331004,7.996232936747829,7.890567830041099e-05,-0.0037670632521713543,6.323830348264892e-13,0.0012978955841682497,0.0023186302407793846,7.998170084053482,1.6729732320015396,-9.463541518060453,48
19,6.224770615948223,-504.10716563895386,7.9962343910638065,7.884692499753446e-05,-0.0037656089361934875,3.682979847023186e-13,0.00129738570551983,0.0023178038206879137,7.998170446046354,1.6730173130041286,-8.292707952282383,48
20,6.023706133138792,-412.1067908976886,7.996234877634203,7.8827592444006e-05,-0.003765122365797069,2.6290081223123707e-13,0.0012972152172134755,0.0023175164083113486,7.99817056656165,1.6730319946049228,-7.675020910152049,48
21,6.121390519814565,-454.49763282482905,7.9962353585582875,7.880746961742753e-05,-0.003764641441712513,3.398762752719146e-13,0.0012970463918443814,0.00231726648030417,7.998170687544635,1.6730467140812055,-6.816863399946472,48
22,2.949076728383967,18.088321884200198,7.996252090186376,7.83116353979955e-05,-0.0037479098136241618,3.813246015245871e-13,0.0012912364957474132,0.0023076484264947794,7.998176406723079,1.673832743076216,-9.711066021170105,48
23,0.8825765113138362,1.4171194259354178,7.996252598305983,7.829532068324879e-05,-0.003747401694017327,3.919827425609886e-13,0.0012910596669004676,0.002307217941961426,7.998176525452516,1.6738472800312243,-9.366304162315622,48
24,1.7328062568458793,-4.656505263157895,7.996253087373415,7.827633941876457e-05,-0.0037469126265854413,5.115907697472721e-13,0.0012908884497437626,0.002306913929487564,7.998176645760041,1.67386194478888,-8.952310564460424,48
25,9.415571410555556,-12277.087033747779,7.996254049647455,7.823615626214857e-05,-0.003745950352545435,2.2026824808563106e-13,0.0012905506880852514,0.0023064111953772226,7.998176887688901,1.673891380702969,-7.797788204267294,48
26,7.261566354120314,-1423.4860402281597,7.996254531321262,7.821614000436808e-05,-0.0037454686787379288,3.907985046680551e-13,0.0012903816496976543,0.0023061562635575683,7.998177008608825,1.673906095055508,-6.91153476970187,48
27,7.013043896144548,-1110.0312267657991,7.996255013555787,7.819620229626452e-05,-0.003744986444212728,5.305385760342082e-13,0.0012902124466751374,0.0023058976100855944,7.998177129482276,1.673920805643652,-5.478509069778449,48
28,1.1884350871849079,2.2819412347309345,7.9962717782166495,7.770503850834404e-05,-0.003728221783350527,6.631732200427601e-13,0.0012843929462740997,0.0022960591090850357,7.998182845875294,1.6747066080403474,-9.505734587277752,48
29,0.1632266617583648,-0.17730350913195156,7.9962722694358055,7.768636084167336e-05,-0.003727730564194509,5.731711401798142e-13,0.0012842211022739097,0.0022957407879857783,7.998182966003647,1.6747212582702686,-9.064457086551869,48
30,4.340461719023592,-75.7429648461471,7.996272728357462,7.766315889679282e-05,-0.003727271642538277,2.475057196231016e-13,0.0012840587744677005,0.0022956368679842853,7.998183088807286,1.6747361251604245,-8.529877890864277,48
31,8.896598907073724,-7306.07917383821,7.996274185694759,7.760483973990832e-05,-0.003725814305241215,4.310625930277941e-13,0.0012835480546481755,0.0022947902461964986,7.998183450544116,1.6747801853224735,-5.486327789593652,48
32,0.0,0.0,7.996291416236777,7.709149500220138e-05,-0.003708583763223139,2.830328564111066e-13,0.001277564305956428,0.0022848004609841155,7.99818928911499,1.6755808029097596,-9.116689270521244,48
33,2.6199578833375656,-12.735145094426532,7.996291914183773,7.707376190452802e-05,-0.003708085816226614,4.926429634603361e-13,0.0012773904865499726,0.0022844374566375336,7.998189408685123,1.6755954079144888,-8.556373883312602,48
