coeffs,Galois_group,A_R13_free,A_stderr_R13_free,delta_R13_free,residual_mean,residual_std,residual_at_max_n,n_points
"[2, 4, 0, -2, -1]",D_4,7.996641069684908,6.69795017496924e-05,-0.0033589303150920458,6.164352978683181e-13,0.0010045167266505787,0.0018105045594438707,45
"[2, 4, 0, 2, 1]",S_4,7.9966785077568066,6.588549544424239e-05,-0.003321492243193447,6.694891554717389e-13,0.0009932371752192917,0.0017909616506130988,45
"[2, 5, -3, -1, -1]",S_4,7.995125938116675,9.581776928706905e-05,-0.004874061883325176,7.402276322762999e-13,0.0014573013429095625,0.0026314062458823173,45
"[3, -5, -3, -3, 1]",S_4,7.9982686760639385,3.53436369535174e-05,-0.0017313239360614574,-6.58866900432093e-14,0.0004930186441536948,0.0008863207028753095,44
"[3, -5, 3, -3, 1]",S_4,7.9993971466518685,1.2348504925233326e-05,-0.0006028533481314824,-1.937843824800273e-14,0.000171680459121834,0.00030849644667796383,44
"[3, -4, 0, -3, 1]",S_4,7.9989315736304585,2.178341565460761e-05,-0.0010684263695415197,-1.5502750598402185e-14,0.0003042429872501755,0.0005470423127462709,44
"[3, -4, 0, 3, -1]",S_4,7.99897220541735,2.0553258046097742e-05,-0.0010277945826500101,0.0,0.00029258185437344903,0.0005274132820431987,44
"[3, -3, -3, -5, 1]",S_4,7.998401007659767,3.256631148884027e-05,-0.0015989923402326411,-5.167583532800729e-15,0.00045531804148048763,0.0008187919218016759,44
"[3, -3, -3, 3, -1]",S_4,7.9984548687219466,3.094007395828312e-05,-0.0015451312780534465,2.325412589760328e-14,0.00043986116147474053,0.0007927279483510574,44
"[3, -3, 0, -4, 1]",S_4,7.998958197860046,2.1293911626350723e-05,-0.0010418021399543065,4.004877237920565e-14,0.00029667371877643514,0.000533058311248169,44
"[3, -3, 0, 4, -1]",S_4,7.9990121916466315,1.969358797321649e-05,-0.0009878083533685356,2.5837917664003644e-15,0.00028118555320475017,0.0005061965148343006,44
"[3, -3, 3, -5, 1]",S_4,7.999501310628097,1.0451341719893207e-05,-0.000498689371903005,-4.392446002880619e-14,0.0001420715452862138,0.00025415676805096155,44
"[3, -3, 3, 3, -1]",S_4,7.999558128962555,9.361622983673054e-06,-0.0004418710374451962,2.1187092484482986e-13,0.00012590842369706844,0.0002131174089754495,44
"[3, 3, -3, -3, -1]",S_4,7.997333863481569,5.314802136668064e-05,-0.0026661365184308394,1.9432517610555297e-13,0.0007214209237100237,0.00130153576333214,43
"[3, 3, -3, 5, 1]",S_4,7.997386854912228,5.1570964152403846e-05,-0.0026131450877722173,-1.4541339708578795e-14,0.000706974815315524,0.0012771043841439678,43
"[3, 3, 0, -4, -1]",S_4,7.997845800181329,4.333423791530441e-05,-0.002154199818670932,2.293565854034928e-13,0.0005829791370677178,0.0010505420482331829,43
"[3, 3, 0, 4, 1]",S_4,7.997898762699234,4.1758515767615075e-05,-0.002101237300766279,1.7053025658242404e-13,0.0005685401547706009,0.0010261226591410377,43
"[3, 3, 3, -3, -1]",S_4,7.998370397738461,3.314953214020435e-05,-0.0016296022615387429,2.7826836442325783e-13,0.0004410875942354083,0.0007936966204624696,43
"[3, 3, 3, 5, 1]",S_4,7.99842333097349,3.1575153694956706e-05,-0.0015766690265097694,5.089468898002578e-14,0.0004266556996283324,0.0007692893693729275,43
"[3, 4, 0, -3, -1]",S_4,7.997467258823554,5.068266089775169e-05,-0.002532741176445974,8.790900823822635e-14,0.0006853661497737352,0.0012358804527821121,43
"[3, 4, 0, 3, 1]",S_4,7.997506734706191,4.95106018146301e-05,-0.0024932652938094435,3.0206328394638676e-13,0.0006746047213449665,0.0012176733730484557,43
"[3, 5, -3, 3, 1]",S_4,7.996561336688999,6.77142255472682e-05,-0.0034386633110008447,-5.9487298807822344e-15,0.0009302846801273531,0.0016809660744456778,43
"[3, 5, 3, 3, 1]",S_4,7.9975726009613055,4.8455981323463356e-05,-0.002427399038694489,1.9498614609230656e-13,0.000656835653575521,0.0011848065055346524,43
"[5, -5, 0, -4, 1]",S_4,7.998935616077083,2.1540605505253038e-05,-0.0010643839229169672,1.8474111129762605e-13,0.00027345274276330993,0.0004925636499137909,42
"[5, -5, 0, 4, -1]",S_4,7.998969389519889,2.0525274798549476e-05,-0.0010306104801109939,3.045183153257572e-14,0.00026471189689338453,0.00047779081683074764,42
"[5, -4, 0, -5, 1]",S_4,7.998920492221458,2.1880068980809116e-05,-0.0010795077785417106,3.721890520648144e-14,0.0002773447402587455,0.0004994760435010903,42
"[5, -4, 0, 5, -1]",S_4,7.998962542818889,2.0617596542114266e-05,-0.0010374571811109234,2.774500206301344e-13,0.0002664620455819381,0.00048107876432368357,42
"[5, 4, 0, -5, -1]",S_4,7.9980258570325145,3.964296530070128e-05,-0.001974142967485548,-2.0301221021717147e-15,0.000507120649947503,0.0009143675696350329,42
"[5, 4, 0, 5, 1]",S_4,7.998066629521556,3.8431475073897165e-05,-0.0019333704784436634,5.3459882023855156e-14,0.0004965715105786604,0.000896500102498976,42
"[5, 5, 0, -4, -1]",S_4,7.997822133227622,4.3602093010218485e-05,-0.0021778667723779677,1.2992781453898974e-13,0.0005594280891651588,0.001009067803806829,42
"[5, 5, 0, 4, 1]",S_4,7.99785462835112,4.2637760403344795e-05,-0.002145371648880179,4.669280834994944e-14,0.0005510208961342588,0.0009948248797400083,42
"[7, -5, -3, 5, -1]",S_4,7.998683051309335,2.6178172286380514e-05,-0.0013169486906647876,-2.0311124056361889e-13,0.00032060847142061295,0.000578949139139695,41
"[7, -5, 3, 5, -1]",S_4,7.9991720957678165,1.646917865212796e-05,-0.0008279042321834851,-1.663709820316332e-13,0.0002015537466989964,0.0003639289745365204,41
"[7, 5, -3, -5, -1]",S_4,7.997852225693058,4.28292350458457e-05,-0.0021477743069420185,-1.233918116734613e-13,0.000522895309424419,0.0009438621308959227,41
"[7, 5, 3, -5, -1]",S_4,7.998315346467295,3.389229942195538e-05,-0.0016846535327053047,-2.301465251437593e-13,0.00041019734899299,0.0007396164615443013,41
