id,family_class,coeffs,R_struct,lambda_kind,theta_inf,theta_0,theta_star,trace_invariant,painleve_class,all_rational_4tuple
T08,T2A,"a:1,-2,-2,1,0;b:-2,1,-2",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(3 - 2*sqrt(2)) + I*pi)/(2*pi),0,1/4,log(3 - 2*sqrt(2))/(2*pi) + 1/4 + I/2,PIII(D6),False
T09,T2A,"a:2,0,-1,1,0;b:-2,2,0",1/2,quadratic-surd D=12,(log(2 - sqrt(3)) + I*pi)/(2*pi),0,1/2,(log(2 - sqrt(3)) + pi + I*pi)/(2*pi),PIII(D6)-confluent-other,False
T10,T2A,"a:1,2,2,-1,2;b:1,-2,-1",1,quadratic-surd D=5,(log(sqrt(5)/2 + 3/2) + I*pi)/(2*pi),2,1,(-log(2) + log(sqrt(5) + 3) + pi*(6 + I))/(2*pi),PIII(D6)-confluent-other,False
T11,T2A,"a:1,0,-2,0,0;b:-1,1,1",1,quadratic-surd D=5,(log(3/2 - sqrt(5)/2) + I*pi)/(2*pi),0,1/2,(-log(2) + log(3 - sqrt(5)) + pi*(2 + I))/(2*pi),PIII(D6)-confluent-other,False
T12,T2A,"a:1,1,-2,2,2;b:-2,1,0",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(3 - 2*sqrt(2)) + I*pi)/(2*pi),2,1/4,log(3 - 2*sqrt(2))/(2*pi) + 9/4 + I/2,PIII(D6),False
T13,T2A,"a:1,-1,-1,-1,1;b:1,0,1",1,quadratic-surd D=5,(log(sqrt(5)/2 + 3/2) + I*pi)/(2*pi),1,0,(-log(2) + log(sqrt(5) + 3) + pi*(4 + I))/(2*pi),PIII(D6)-confluent-other,False
T14,T2A,"a:1,2,1,2,2;b:1,2,2",1,quadratic-surd D=5,(log(sqrt(5)/2 + 3/2) + I*pi)/(2*pi),1/2,-1,(-log(2) + log(sqrt(5) + 3) + pi*(3 + I))/(2*pi),PIII(D6)-confluent-other,False
T15,T2A,"a:2,-1,-2,1,-2;b:-2,0,-1",1/2,quadratic-surd D=12,(log(2 - sqrt(3)) + I*pi)/(2*pi),-2,0,(log(2 - sqrt(3)) + pi*(-3 + I))/(2*pi),PIII(D6)-confluent-other,False
T16,T2A,"a:1,-1,0,1,1;b:-2,-1,-2",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(3 - 2*sqrt(2)) + I*pi)/(2*pi),1/4,-1/4,(log(3 - 2*sqrt(2)) + pi + I*pi)/(2*pi),PIII(D6),False
T17,T2A,"a:1,2,0,-2,-2;b:1,0,-1",1,quadratic-surd D=5,(log(sqrt(5)/2 + 3/2) + I*pi)/(2*pi),-2,0,(-log(2) + log(sqrt(5) + 3) + pi*(-2 + I))/(2*pi),PIII(D6)-confluent-other,False
T18,T2A,"a:1,2,2,0,-1;b:2,0,2",1/4,quadratic-surd 3+2sqrt(2) (D=2b^2 / Class B locus),(log(2*sqrt(2) + 3) + I*pi)/(2*pi),-1/4,0,(log(2*sqrt(2) + 3) + I*pi)/(2*pi),PIII(D6),False
T19,T2A,"a:2,0,2,2,2;b:-1,-1,0",2,rational-resonance -1/2,-1/2,2,-1/2,7/2,Generic,True
T20,T2A,"a:1,-2,2,1,-1;b:1,-2,1",1,quadratic-surd D=5,(log(sqrt(5)/2 + 3/2) + I*pi)/(2*pi),-1,1,(log(sqrt(5)/2 + 3/2) + I*pi)/(2*pi),PIII(D6)-confluent-other,False
T21,T2A,"a:1,0,-1,2,1;b:-1,1,-1",1,quadratic-surd D=5,(log(3/2 - sqrt(5)/2) + I*pi)/(2*pi),1,1/2,(-log(2) + log(3 - sqrt(5)) + pi*(4 + I))/(2*pi),PIII(D6)-confluent-other,False
T22,T2A,"a:2,2,0,-1,-2;b:2,2,-1",1/2,quadratic-surd D=12,(log(sqrt(3) + 2) + I*pi)/(2*pi),-2,-1/2,(log(sqrt(3) + 2) + pi*(-3 + I))/(2*pi),PIII(D6)-confluent-other,False
T23,T2A,"a:2,1,0,2,1;b:2,-2,-1",1/2,quadratic-surd D=12,(log(sqrt(3) + 2) + I*pi)/(2*pi),1,1/2,(log(sqrt(3) + 2) + pi*(3 + I))/(2*pi),PIII(D6)-confluent-other,False
T24,T2A,"a:2,-1,2,-1,-1;b:-1,-1,-2",2,rational-resonance -1/2,-1/2,-1/4,-1/2,5/4,Generic,True
