n,a_n
84,92149544333002517870706574977163743936956721027105504418283666093442069772731086014432145110169.41091832701410260065819766397930993678342849825999875538148914171679081905460836932861767224995217345922373041410270681559766551391527859675990606243906189
85,3352453148271128992737959544893159664484738678060044545069839148471900864869108139942826390064684.889453576743696983844826244051752936727313818652851673280663761121949147764457773680131514727832537927078335191088694279093131841149627733003190213498987
86,123415525523455111592479455767784310548726977925019963090576223485073568244517410288784012146095895.1926225556522836924511939826515554263913991379538908477305510397608522197591460696356696328371460166400553642698083519810855580078939757651990120765401
87,4596787090511737130355228129110917066165065294080385257498476890027135384325062760970434496516985024.794681282096741120119792530914633253691719559836675260515466172617559410137631520645613643258737442809886413145396631179604828127916174056797961679416
88,173203968342340231141817012683664929700713766135972099169752071528120713347364470382475337361969061285.4407304631572485495152266552782353153352409573307962714421756022640505083239099229431964872192165423800830224483411727149977405928218254001600937115
89,6601199040655351991638206913751444805740243422221168826264068933499562805402665923584603440440782717961.138868371632775398107507135632971040066308776031168006973668655061995939824726319665977914242747850431549678167244315554695467639791735848530326326
90,254444657192486029174236243922576446738123743976058566168958932698744407388505503493447068206943490174242.7764086657338429631094091628694368818263543982410585807240317246876525524955166314014375176878675190243518272686519579643689375800628307298149057
91,9917782748525857944058580610230536765195051976931675204890923062841658593660295640787102518682452286061908.859918501219808027951494643130872448765583160951453897159654735561403053528126946169738024026748752060834043038320441743070745915019911638688757
92,390870621543306675007565017363032187285811738082537077595859847058049175812980589250885077845948630334530181.1250321707224635759963314584575706549969131924546238521222888692793676906189867303436289871245535067235490006066601696419583111624488508308207
93,15573859737601332928089779548576562941752047608493231916762697626266594363773209008559526954774445055159052773.64135436135151717287453713781360819469575897895654180364945976386660999278886350090243858731772157457235962312573077335550541647513403422587
94,627267834802403403733799440236241733741511964111209467421483119789995113063671323952761813795045707092371661126.7420834949858747157057517243277980861576921914206883338909332596245513646589897715460930187102632760785362288126635015910517445627070482956
95,25536015968879368110152025635239201771791223384585698109500402212481902494508007001816887483505195951237153547015.2509628369477485857503621043142375903751934000811414112144444142455604716143849384668007028436579695369247605402622570653994143401806281
96,1050624497027059395778643230458421221734182355404330315148844014456135708420467055125697785171751805888940874462101.824312399871191643557963791093298770782769721949386447088487554290316004207263150650571425210909278112572246183574871816593095656686387
97,43680548717365809425211397268445939966286729180595250096899743241956331912689196160251013769977397673780400874648939.85745350113413815174523891993198259481935956970752244444780854773807886167907850205410475190785380788488108980835475317832692463773056
98,1834964837584945898660839673897910086005733519559402303873285375956359642868920338517475761850060091162798663084853329.838508001608598659638933240648334332225039846918877637431739783412782557205067061338785927328951137930341715495758196267760373172336
99,77879004075839331099531363207192387645433996109221760881452712471827322188462999919197412948274179571845460035486663279.12015982119728267911126221986813606715179073385953913834868704958651955835888316019166649856519051892063352978510616339610557948674
100,3339033923350953018031359107516123131766216196378815298553394695427373624302065353474570386985568737062391175107535884051.598800635676255303464955997747044189129138932473349871441760007065476175346612961372574436626863692221239646324075995557414038117
101,144605495860577549683421445681813928699795965623457674988030730291646792778255053708978948615094091152527094482560001459499.5825302642728593453636205050073878431129832431271280732065215089673660474731202177353967223755773310421499513727757369043387366
102,6325121875874175049928967112198833055079300974792770093988786311488018099302818276144905674081944073144243053414455339801073.743631738918691050099913624558271780964103632312832661932096220621754372617365737005721109505415611032667688541856077184873524
103,279402693918282962300833114716128363083617322805106155527246518451109549315129235585442246556196777861151884478363013450291153.4167630798315885305133242921425832155628193805886617552198391426607510458021517708102454072065110569824458931080074021568939
104,12463159750344468410717832655935115501643255009757970740242835042088559934835891066829524232571048002854632308912534674664923963.92821358402767342006153597474548791329323463673269504799114149618625272656044331095008807303951343439685336027063568892374
105,561333176557392961373962090489659444630092989124315218774832496169059503301667699888684373056411448986007191987409175375699160030.9288064140121446659795539650740514583025033552947445479860849474522555633589706941079509072111413806974919767845261847923
106,25525138937704172201929177023292052911984755741241750538942860377168010988593614754716595712890709011367265752888901710072552221022.86286516700886998260172652469818362617354957534120731266444538548506386784111498962091769847680630178751434451224156684
107,1171739336454122104775834351093037872324817686367861007410577914491209559944497269845566876081723081573913996293669824347580469434146.329547460514983732697045115520699205665508271122783671833709022614133390164746129931022586705166964074251886217755129
108,54296367130302206598969426904312605366352980218927453401039665839809139026001544771004359023454787270175521997078884276277387817949706.40165757310097096427002666570238030214388580513912309817421423054745108972124098187078894846596770849317612124178401
109,2539507486181949957601041271447390400759002025919575719725786543800271119720031369122012800850547177123911767490357719726671970622540844.36096694615974189771124398348777334339714142461343026619999227802788090872598109420141246200014916272518254316249
110,119875374329988128143007295132254261643265719467997546695260134594432327114460877333987913627823723118708584209914942949695504508477002014.1739903711743491006792333375777618465076884960488938008940139304618053327446816489571135268660670198518231940053
111,5710520316231281609680436000071047812167080983646727707902624768231761606576668958101028534954983096745351559302790711209079147348428983512.330933663068633431848746061980181144877825493358732335583590047454416007533185106860721162724207147488555077316
112,274505305984717652813619632372192036397214830252571153510126840813343503134503290008729743463915723264817596266473069964432735459801756207994.6971714609721891912319781455278072857835159153979099463494420689855971784518033404071469171936941448632230227
