family_id,alpha_3,alpha_2,alpha_1,alpha_0,j_invariant,log_abs_j,tau_re,tau_im,branch,newton_iters,newton_residual,j_csv_vs_recomputed_relerr,abs_E4,log_abs_E4,abs_E6,log_abs_E6,abs_Delta,log_abs_Delta_petersson_w6,log_abs_Delta_petersson_w12,log_eta_norm,log_imtau,log_abs_E4_cube,log_abs_j_minus_1728,delta_R11_free,A_stderr_R11,delta_R13_free,A_stderr_R13,alpha_fixedA_R13,beta_fixedA_R13,gamma_fixedA_R13
11,1,-3,-1,-3,-617.8324022346369,6.4278344803445595,0.5,1.1302321197829885,vertical_half,7,1.261485002448483e-131,4.256816741596275e-16,0.8037257911647205,-0.2184971237411883,1.4040255372723964,0.3393434943786559,0.0008403361243689854,-6.347170433907582,-12.694340867815164,-0.2338596779045284,0.12242302736648342,-0.6554913712235648,7.760395586863795,-0.02173532096229014,0.0014409809783207045,-0.0018417129703163226,4.1599116082387815e-05,5.999112542392691,-0.18273525201998053,-8.594557098710583
12,1,-3,-1,-2,-1055.7708830548927,6.962973200836589,0.5,1.1829787049234664,vertical_half,7,2.4253826140529956e-150,6.718560483781466e-16,0.8587979230315779,-0.15222163143458337,1.2923149901151028,0.25643517604460875,0.0005999337243744232,-6.410477864679806,-12.820955729359612,-0.22509434838060155,0.16803558392422824,-0.4566648943037501,7.931561720314393,-0.0310045204956646,0.005022753277109608,-0.0018352527445903988,4.007373836673249e-05,5.999117721289356,-0.18196619477817255,-7.961567320622024
13,1,-3,-1,-1,-2513.4545454545455,7.829811178476883,0.5,1.2844233332735286,vertical_half,6,3.911383168031506e-121,1.9960514034586986e-15,0.9251632651387712,-0.07778505419178208,1.1559777129329876,0.14494649059460044,0.0003150533522114105,-6.560909462939446,-13.121818925878893,-0.21079376518742216,0.2503098497402191,-0.23335516257534625,8.35266154256996,-0.022157403746788873,0.0014186759459644841,-0.001825677404756476,3.9120039842287616e-05,5.9991225920043,-0.1812255048975826,-7.1258271067260734
14,1,-3,-1,1,2988.972972972973,8.003019627204404,0.0,1.2211273607646274,imag,7,2.4060654864192697e-160,3.0428334748985774e-16,1.1121694633332384,0.10631257930128694,0.7618129394443091,-0.27205423972574083,0.00046024694195980777,-6.4851003926195165,-12.970200785239033,-0.2202688917943102,0.19977449825934523,0.3189377379038608,7.139638902724106,-0.018749605573263217,0.0011967626994808858,-0.0017984226999052666,3.823085356721426e-05,5.999131531680555,-0.17981792488665438,-4.406046557524264
15,1,-3,-1,2,1931.7379912663755,7.566692924892639,0.0,1.092528040314875,imag,8,2.1086559455573205e-156,1.177042002959078e-16,1.252957585534206,0.22550682500915714,0.4554770026398464,-0.7864100517238812,0.0010182651681420467,-6.358689032159798,-12.717378064319597,-0.24282179787740601,0.0884943138503423,0.6765204750274714,5.31683481181409,-0.018244175859550182,0.0011501844999873819,-0.0017846633905920228,3.780156462060476e-05,5.999135988416129,-0.1791153421125724,-1.825177117876425
16,1,-3,0,-3,-329.14285714285717,5.799525461219067,0.5,1.0781398422787967,vertical_half,8,4.4375520574764696e-169,3.1322881133299116e-16,0.7285063061932309,-0.3167589969763401,1.554497335422911,0.44115223640964496,0.00117466901117073,-6.295345736324443,-12.590691472648887,-0.24349677537330822,0.07523718789417434,-0.9502769909290203,7.629073336508779,-0.021170711497972228,0.0024159378599424436,-0.0014185164469298073,3.119852879745239e-05,5.999320154899644,-0.13996294829127098,-7.698091819573759
17,1,-3,0,-2,-576.0,6.3578422665081,0.5,1.123911450115108,vertical_half,7,2.2550790587943762e-129,2.944462317940604e-16,0.7958356045525716,-0.22836264141138565,1.4199238145419846,0.35060321844286696,0.000875079704471988,-6.340305780939669,-12.680611561879338,-0.23497566570622047,0.1168149673317297,-0.685087924234157,7.742402021815782,-0.011589308323928016,0.002481673102467401,-0.0014109613365924645,3.003172549312796e-05,5.999325223536848,-0.1392040954067768,-6.444455154116979
18,1,-3,0,-1,-1382.4,7.232299516166484,0.5,1.2124610723530589,vertical_half,7,1.0126300900477723e-160,3.71474505406275e-16,0.882569063624821,-0.1249182341718131,1.2436962056921066,0.2180877568504446,0.0004972930337104368,-6.450417672335503,-12.900835344671005,-0.22060434350440727,0.19265223803828802,-0.3747547025154393,8.04250661426612,-0.016310654494111176,0.0009650886916142143,-0.0013950290917179586,2.9835854657644763e-05,5.999329463470141,-0.13852152129667672,-4.536848469720558
19,1,-3,0,1,2304.0,7.742835955430749,0.0,1.1539905822402499,imag,7,7.27755646376468e-134,1.9737298215558337e-16,1.1714065331535224,0.15820519187629714,0.6339156403737431,-0.4558393927454997,0.000697654581788981,-6.408430403693173,-12.816860807386346,-0.23121143171664402,0.1432260070822861,0.47461557562889145,6.3561076606958915,-0.014033673359990395,0.0008734865142466703,-0.00136744375327158,2.898691836263691e-05,5.999338366534328,-0.13711742231018076,-1.5419429621590544
20,1,-3,0,3,2304.0,7.742835955430749,0.0,1.1539905822402499,imag,7,7.27755646376468e-134,1.9737298215558337e-16,1.1714065331535224,0.15820519187629714,0.6339156403737431,-0.4558393927454997,0.000697654581788981,-6.408430403693173,-12.816860807386346,-0.23121143171664402,0.1432260070822861,0.47461557562889145,6.3561076606958915,-0.013048259271178253,0.0007789676447761241,-0.00134003700524854,2.8117676420589935e-05,5.9993472871334586,-0.13571171254170092,0.40751486856271246
