n,a_n_real,a_n_imag
223,1.37505242245295721136791251995786630552823452494891319517015e+326,0.0
224,-1.08412638796786874601621322742134775145499334050980573497806e+328,0.0
225,8.58585836661452358495152964447660289306447042710741698232988e+329,0.0
226,-6.83002060756911610042613871650438999906108645012214771852109e+331,0.0
227,5.45740543278301541459781902912978621034226343568015133674718e+333,0.0
228,-4.37993667734830626505399794083575777855722770533598024392685e+335,0.0
229,3.53068054589130590999529495990528386448707154942830578253366e+337,0.0
230,-2.85857534158224217424694624496522424626122759918265163749048e+339,0.0
231,2.32451956443831855776021714303602019260218786387738656735709e+341,0.0
232,-1.89845760405616363503312605593812631994897635697636020809231e+343,0.0
233,1.55720072072239776386540883986578739916536704672457789501683e+345,0.0
234,-1.28279192134521863400859003115216095322333008082291887269335e+347,0.0
235,1.06127458460053352103714855962305985011389976213301415750395e+349,0.0
236,-8.81761855729252845837661588129582561459413056233439085280024e+350,0.0
237,7.3573087839448235423514161363207602199485654367102498348729e+352,0.0
238,-6.16485681590944515726426723791170627604621398114627173152353e+354,0.0
239,5.18747011201838761636083264357822720348756535927326136815393e+356,0.0
240,-4.38338035152392241502638651655785096836316574690348504215582e+358,0.0
241,3.71942699169592802269245577737881264143391654676128935155623e+360,0.0
242,-3.16919318395320148366926677317766870513208989223038561609497e+362,0.0
243,2.71156302787668675636734271700926524756107580895202835361079e+364,0.0
244,-2.32960126868285077925819607882554425327765024999992533633237e+366,0.0
245,2.0096805523067349987808244761296776572146825453451542127762e+368,0.0
246,-1.74079935148937475076982614775863155795373228343839980542317e+370,0.0
247,1.51404721288845901915898023188604695406823428405796377140338e+372,0.0
248,-1.32218418747690933011280858155822997765241125544953979712208e+374,0.0
249,1.15930903461111062867989473449658227867204509937314533740518e+376,0.0
250,-1.02059665631769075885374436048010890731069862925640148607898e+378,0.0
251,9.02089684672421045547265334171686490741315745941979131837753e+379,0.0
252,-8.00532555880761713902753087802674682942746611727455161716069e+381,0.0
253,7.1323901703989880726976736541557173024246033567004638418469e+383,0.0
254,-6.37986018330030704458583686746492257964255664673819336156335e+385,0.0
255,5.72928489428283450019212302730563840174085647499475945175531e+387,0.0
256,-5.16530693469200671920543757110957266395902393268317198738267e+389,0.0
257,4.67510777445549195159357709638942708293926414993514064142841e+391,0.0
258,-4.24795857135880314217259405027019570937204983535911802058736e+393,0.0
259,3.87485535038595521791043240400605772330231941356437368115225e+395,0.0
260,-3.54822187656786656990541356949333265362716662756156431477399e+397,0.0
261,3.2616670154084826423767749025850721477425593832589830425152e+399,0.0
262,-3.00978607010548628870100951263415014125391037904652470388515e+401,0.0
263,2.78799770780740402459571642779099801391600867018185728910542e+403,0.0
264,-2.5924097639471102583860160097026543524284608562655292795589e+405,0.0
265,2.41970854154396765903177401248083816374728424582797135699688e+407,0.0
266,-2.26706727664074686384163012867391228937043860585584642934393e+409,0.0
267,2.13207028027968676324806933495367268131528001580009100094997e+411,0.0
268,-2.01264993721574585557116449257977669744882203703839887261465e+413,0.0
269,1.90703427751033730646306171933903573523166396205981674618316e+415,0.0
270,-1.81370326710887845394484441988679449997488185195944613387231e+417,0.0
271,1.73135230934619142860010439352826636175398737265112489278586e+419,0.0
272,-1.65886172824839480065066161912183834519987883343277250710212e+421,0.0
273,1.59527123007813124404448341904001872920395520962864718266115e+423,0.0
274,-1.53975852253344993301616418127232839923401860195031775626957e+425,0.0
275,1.4916214198694949967766826686997864798682172446188195006461e+427,0.0
276,-1.45026288373381747750888604127490640495228528795593053444143e+429,0.0
277,1.41517854908860769330777000266098089254955084664094508645935e+431,0.0
278,-1.38594636655640357490904656268073946977418562690032299376056e+433,0.0
279,1.36221806034020825311822766105190576967556065014634819676647e+435,0.0
280,-1.34371215733470980174416664786869134106651526042870605015414e+437,0.0
281,1.33020839043432172584257419072937071813295365494654065214706e+439,0.0
282,-1.32154331921190621597310336188867074127549725229398212781357e+441,0.0
283,1.3176070456187171170747045625914143896245448624230321116759e+443,0.0
284,-1.31834093241627549556963531071661568507530428916404923424054e+445,0.0
285,1.32373625877353167780974248880836355195077906910890324989496e+447,0.0
286,-1.33383377177882168601004155247386366414042836591702375614104e+449,0.0
287,1.34872411534923557291520790568621451841369960522574534055748e+451,0.0
288,-1.36854913992054464780661765597590338280976894867830040862386e+453,0.0
289,1.39350411807696392496623815894940068908616562037064789354361e+455,0.0
290,-1.4238409136259163965928771097927146815263796289000628668895e+457,0.0
291,1.45987217524594610198878326460895073585988526630436723551159e+459,0.0
292,-1.50197665148387094724763389604554286225418282990055512944457e+461,0.0
293,1.55060575236741298164826600783857436005361961762766389623236e+463,0.0
294,-1.60629151515007464403115603730388589943758424230096941620018e+465,0.0
295,1.66965616877083280969598672868852352773579837316763141906962e+467,0.0
296,-1.74142353472547886959116983391139625358574348693890544683917e+469,0.0
297,1.82243255266993467237477475644896433107544832456292304799687e+471,0.0
298,-1.91365327895637696945253904418322179480957764314713451814778e+473,0.0
299,2.01620577754741671195362328105486670108005426158765773937276e+475,0.0
300,-2.13138240791645600223359486870362997391184872905470610690473e+477,0.0
301,2.26067411673497256329333530075292462093250821620042585956585e+479,0.0
302,-2.40580146317297226617646842043987267151975726342566188450712e+481,0.0
303,2.56875125616000197327698612247003914257854843186915344588255e+483,0.0
304,-2.75181986170258336668844660167467133873916833915897184614194e+485,0.0
305,2.9576644563915213479629984189160022926942887906170245186392e+487,0.0
306,-3.18936376827832909064313478133580161753370635827763850709584e+489,0.0
307,3.45049016914065677969049857381520892929452234030396665284973e+491,0.0
308,-3.74519537616204721861958884155466534871805308630947370942505e+493,0.0
309,4.07831250282404939109402180725152574104140593422148459105473e+495,0.0
310,-4.45547778900264314297528492847999057147723968707350849692671e+497,0.0
311,4.88327606461615908456057901334395778415633103349449216844446e+499,0.0
312,-5.36941489182424902125406744848453350794538687391061773553853e+501,0.0
313,5.92293342791891480521480242665999002879195920703665576541175e+503,0.0
314,-6.55445340503594269602585045633433739909847024448659822830669e+505,0.0
315,7.27648129685282831753628384011691592450513191805288651153937e+507,0.0
316,-8.10377281599875713076466748920194815756848600222581940856118e+509,0.0
317,9.05377345908662815534366743027817758378860745580452923058162e+511,0.0
318,-1.01471520154038457914444533463428114945219230390112195663756e+514,0.0
319,1.14084479400507283867684149742020874374087534094183496506644e+516,0.0
320,-1.28668584649195920277957838327172551898604946802851532280044e+518,0.0
321,1.45571975379334199079131852258782874438134578146640256560676e+520,0.0
322,-1.65210664685189347212898444143187550404749252594885836029565e+522,0.0
323,1.88082859306274684753922355437143340854238411161731030177018e+524,0.0
324,-2.14786512634742422909851231005110851310105405578743541885714e+526,0.0
325,2.4604088491570269324499581659663679409086122616539744840134e+528,0.0
326,-2.82713080264461809909677182280326350013522253864716765603688e+530,0.0
327,3.25850777247342981428197460477979750844363462887163977853301e+532,0.0
328,-3.7672268290135665879797373797480157664508126270330831206132e+534,0.0
329,4.36868637604141779444786736172249109069081304998816940921863e+536,0.0
330,-5.08161803887563484852373293952480343867244009445640498492932e+538,0.0
331,5.92886016796447393139252886269599831830229042091061154581212e+540,0.0
332,-6.93832196455707276912717093310870997721044380573753845051074e+542,0.0
333,8.14418776664939509518410296334108087478655856343096938759201e+544,0.0
334,-9.58842453582419822696558866722030801871142517115564091896961e+546,0.0
335,1.13226729313535223940818087949688482214712173932649646733879e+549,0.0
336,-1.34106246853716747102209682120403669835356643804319348209656e+551,0.0
337,1.59310177902533166567345364712137689360271643153930746240841e+553,0.0
338,-1.89814182258243906073311396798141654133165305855191986372093e+555,0.0
339,2.26830051478484840094680994286507624152105599903381243381026e+557,0.0
340,-2.71866389940983491929534292838016462012507197903984318150881e+559,0.0
341,3.26805732718286458204089225057824098667221890272805890921464e+561,0.0
342,-3.94002767204434383509103262571909043104899223661223683849358e+563,0.0
343,4.76409708326559636706693018057558746368644155485868038061702e+565,0.0
344,-5.77736686196436496853655176711246568988471877162570855228534e+567,0.0
