n,a_n_real,a_n_imag
49,151123398600586097731739142517986984757453915.048602227976793787432284277967627859450223655367670942422671214007929798338539229558168344348676460257621665624612795241859723254414719065888908848828120690697552475927915408275473520352105734137267504690154353419499322473724848630184544249280250107483966428124848479100774975574704887348984898228070915910768001973043459736420321503624433174076467731853678871216325382853561067954768565337780135379411810,0
50,3208410122174289743613272186199607764551886997.53321077496919168173688374631096332240444445464849017861852255277679303920015122069136663112764899481449177902777372611962487398594031269729017628733941503859865546859306151372549056398973136974303979355006567080954042834953216736390572136749589305923985120468951292532902800896037483527733412030884712337587156789280306942596893153893879771090910747515352488171037412557064393013280797066477173459274786,0
51,69504303604110814591599242182807661602473653597.0246222267600289284612613269243409251332360379899163705344259915917507314966183172784213484227727193599930354356839989251561940235828314143960559174173228544976718033425457937031341970778631034776907774522976362169623786051420887911151408365072806577999121065237036780417546595276041559764392155550212108761481100404016324423961815932450889285914283370892727703226175202176558071512797585724896507500522,0
52,1535762322937072053188427954816238805425532183513.37139262461147247838417090015000486867255552775553529505751105670651973196607565239988132704082722527071318339556553125693914520028937323369860799968885075094070283343849835470567867833828332566725369091985236709044295794092880757097277758462739798009735460102949577267257563890820233293833121018489302372072624177574720742987383946166738567593839251528577461058411256685863593369479354962626843963855,0
53,34598746132103463391100559244958680275449003340855.7252051184159206143017506844767282562975230504749793740429716924580340961403260018769240789906342675939196082728677628552165331043927638360721776935545323362885441928011991570749938747505643166302831837138212330554479822165683372077549861880468479258610669071945954486409690741972314006865961257521936547832117002053769666679836949309655058198038834606909515053181620568996655900311706482822369008133,0
54,794439111592011416146708203583143404025059002919463.881094094278388172048400409361985823038792373551772011610994357540377398541203303540976950352677409992985227724940864478385215092231737731630950765416019732742242653039853863475407156182122783952747118868568524856435271993274449744643179688480230621649508433755386429861422967566061002302555055521098136911053615014061597782673847303041633607972085193732480383198773818441103480967494976201344300369,0
55,18585344476484533896687060418539928127736323597072964.5021752511647859213197204831514458932465105309898713088807183340238312907368422886358888685622824297773332676727055908956258165995424584667472903541421614056533231544891224927428068723744093922962795315106354421286290146080340378417637664433006244446934408286092287109889792527049233716370746563220518325578954633325482551309997031437906490489151095271403877771842247315677244496472820227627174256,0
56,442834890433126730944759857608456163719569602713202273.985374519837843459256038105071507668078035502933936175201259225553630718607115729085562632414667538283815281231201861091112191184504810408057052121342321356686524599321363089228192080603965504698693224386927324769810193586176558034356885975209647555316451725937749716518040798857382823352135291956257105855686764271162952220873797059307800236893757512926657690076190995423263552534767612226470974,0
57,10743136149274422359994171998286508631614600688175210757.3002499833562143603805705705966486497894016076909952369767580242711101757329309996561427703382328454821633452141807870205760445150021231931129853998081042819542453231893421409916006375114165590135395475307782184949466641893350356989164039864782802410668961766759886188449482129411713420324785133920614654624367186523854605053781903861064347471035341784006567891677735975434046386087630793851469,0
58,265277386622546560220819473235977638509814189285349873013.924839771496517968083231484400390090310669155641629451624033646635923338761325743349493302867431637630049736936717199590650960991526098027191822872484992515393071742488364293746994198801911976828194051989503783266908601787870529473427408051875434368442653406743798354331340735134366171415765636085405624219258476705873503825983892209203211510912633163044953430470769517659310579499308117110880,0
