idx,label,source,deg_a,deg_b,a_str,b_str,a_top,b_top,R_struct,disc_a,disc_a_neg,disc_a_psq,BT_disc,lam_ratio,int_resonance,stokes_idx,conv_slope,r_final_log10,finite_termination
148,T0,F24_Rat_finite_termination,2,2,"-3,4,4","-4,0,-4",-3,-4,-0.1875,64,0,1,4,0.3333333333333333,0,0,0.0,-1000000000.0,1
149,T1,irr_482,0,2,1,"3,4,1",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
150,T0,F24_Rat_finite_termination,2,2,"2,1,-3","1,4,1",2,1,2.0,25,0,1,9,2.0,1,0,0.0,-1000000000.0,1
151,T0,F24_Rat_finite_termination,2,2,"0,-1,4","3,-2,-4",0,3,0.0,1,0,1,9,1000000000.0,0,0,0.0,-1000000000.0,1
152,T0,F24_Rat_finite_termination,2,2,"1,2,-3","-3,-3,-4",1,-3,0.1111111111111111,16,0,1,13,0.09167308680401604,0,1,0.0,-1000000000.0,1
153,T0,F24_Rat_finite_termination,2,2,"-1,2,0","0,-1,3",-1,0,nan,4,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
154,T0,F24_Rat_finite_termination,2,2,"0,1,-4","-1,-4,-2",0,-1,0.0,1,0,1,1,0.0,0,0,0.0,-1000000000.0,1
155,T1,irr_482,0,2,1,"2,6,3",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
156,T1,irr_482,0,2,1,"3,6,2",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
157,T0,F24_Rat_finite_termination,2,2,"-4,2,2","-3,4,-1",-4,-3,-0.4444444444444444,36,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
158,T1,F24_Trans,2,2,"-2,-1,1","0,-3,-2",-2,0,nan,9,0,1,-8,1.0,0,-1,0.2990237768045346,-1000000000.0,1
159,T1,irr_482,0,2,1,"1,0,3",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
160,T0,F24_Rat_finite_termination,2,2,"0,-1,4","-1,0,-3",0,-1,0.0,1,0,1,1,0.0,0,0,0.0,-1000000000.0,1
161,T0,F24_Rat_finite_termination,2,2,"1,1,-2","2,-4,2",1,2,0.25,9,0,1,8,5.828427124746188,0,1,0.0,-1000000000.0,1
162,T1,irr_482,0,2,1,"2,-6,6",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
163,T0,F24_Rat_finite_termination,2,2,"1,-3,0","-1,0,-2",1,-1,1.0,9,0,1,5,0.38196601125010515,0,1,0.0,-1000000000.0,1
164,T1,F24_Trans,2,2,"-2,-3,2","0,-3,-4",-2,0,nan,25,0,1,-8,1.0,0,-1,0.3032449936223562,-1000000000.0,1
165,T0,F24_Rat_trivial_zero,2,2,"0,0,0","-4,-2,-3",0,-4,0.0,0,0,1,16,0.0,0,0,0.0,-1000000000.0,1
166,T1,irr_482,0,2,1,"1,5,7",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
167,T1,irr_482,0,2,1,"2,2,1",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
168,T0,F24_Rat_finite_termination,2,2,"4,-2,-2","-1,4,3",4,-1,4.0,36,0,1,17,0.6096117967977924,0,1,0.0,-1000000000.0,1
