family_id_str,family_id,degree,A_fit,A_stderr,delta,j_invariant,log_abs_j,sgn_j,is_j_zero,is_j_1728,CM_disc,log_abs_Delta,log_Mahler,bin
d3_18,18,3,5.983689345505889,0.0009650886916142,-0.016310654494111176,-1382.4,7.232299516166484,-1,False,False,-15.0,4.90527477843843,1.1326282635675438,-_S3_CM
d3_19,19,3,5.98596632664001,0.0008734865142466,-0.014033673359990395,2304.0,7.742835955430749,1,False,False,,4.394449154672439,1.0575768135749348,+_C3_real
d3_20,20,3,5.986951740728822,0.0007789676447761,-0.013048259271178253,2304.0,7.742835955430749,1,False,False,,4.394449154672439,1.2271444934280145,+_C3_real
d3_21,21,3,5.989123922250842,0.0006927443857482,-0.010876077749157886,-262.06635071090045,5.572406284431354,-1,False,False,-211.0,5.351858133476067,1.062393985154326,-_S3_CM
d3_22,22,3,5.990433006694728,0.0008529543601082,-0.00956699330527222,-727.578947368421,6.591095989521294,-1,False,False,-19.0,4.330733340286331,1.0185918197779067,-_S3_CM
d3_23,23,3,5.98269516066347,0.004318673298951,-0.017304839336530264,-727.578947368421,6.591095989521294,-1,False,False,-19.0,4.330733340286331,1.3608964958300516,-_S3_CM
d3_24,24,3,5.996049587271335,0.0002002581438455,-0.0039504127286651425,-28.92050209205021,3.3985439341168853,-1,False,False,-239.0,5.476463551931511,1.0986122886681098,-_S3_CM
d3_25,25,3,5.988367772826044,0.0026249526901271,-0.011632227173955734,-66.46153846153847,4.211557634910647,-1,False,False,-26.0,4.6443908991413725,0.9248062543986376,-_S3_CM
d3_26,26,3,5.996046592142761,0.0010103656589736,-0.003953407857238744,-300.5217391304348,5.708842116819782,-1,False,False,-23.0,3.1354942159291497,0.8435987229688855,-_S3_CM
d3_27,27,3,5.982262262427124,0.0064062958758637,-0.017737737572876,-300.5217391304348,5.708842116819782,-1,False,False,-23.0,3.1354942159291497,1.124798297291847,-_S3_CM
d3_28,28,3,5.995687880656372,0.0002312317862307,-0.0043121193436279626,-66.46153846153847,4.211557634910647,-1,False,False,-26.0,4.6443908991413725,1.3444238793897356,-_S3_CM
d3_29,29,3,5.9962078880086,0.000184447617023,-0.003792111991399949,-28.92050209205021,3.3985439341168853,-1,False,False,-239.0,5.476463551931511,1.4965559315615122,-_S3_CM
d3_30,30,3,5.998856243256358,6.462063329481264e-05,-0.001143756743641866,0.0,0.0,0,True,False,-3.0,4.68213122712422,1.0986122886681098,-_S3_CM
d3_31,31,3,5.999882482212149,8.259359459283807e-06,-0.00011751778785118461,0.0,0.0,0,True,False,-3.0,4.68213122712422,1.347377348329384,-_S3_CM
d3_32,32,3,6.000488781658908,7.73454999199543e-05,0.0004887816589080884,0.0,0.0,0,True,False,-3.0,5.493061443340548,1.5090280981082935,-_S3_CM
d3_33,33,3,6.001004306717515,0.0001239824551185,0.0010043067175153908,0.0,0.0,0,True,False,-3.0,6.068425588244111,1.6306597579983293,-_S3_CM
d3_34,34,3,5.97811844316336,0.0013842353806745,-0.021881556836640392,-1083.684007707129,6.989043986420502,-1,False,False,-519.0,6.251903883165888,1.1695964978991509,-_S3_CM
d3_35,35,3,5.978607750190536,0.0013402427428201,-0.021392249809464303,-2305.0491803278687,7.743291027716879,-1,False,False,-61.0,5.497168225293202,1.1482774990825295,-_S3_CM
d3_36,36,3,5.979096738982095,0.0012963108097276,-0.02090326101790474,-24453.565217391304,10.104572193931393,-1,False,False,-23.0,3.1354942159291497,1.124798297291847,-_S3_CM
d3_37,37,3,5.988162315579952,0.0005424212445601,-0.011837684420047623,2188.451361867704,7.691406271730133,1,False,False,257.0,5.54907608489522,1.250149159860756,+_S3_real
d3_38,38,3,5.980561800015522,0.0011648896255714,-0.019438199984477933,1779.8481012658228,7.484844991199741,1,False,False,79.0,5.755742213586912,1.3293157565346272,+_S3_real
d3_39,39,3,5.981049519932071,0.0011212117564644,-0.018950480067928765,1752.1246105919004,7.4691549665887695,1,False,False,321.0,5.771441123130016,1.3718962179920675,+_S3_real
d3_40,40,3,5.983056367061467,0.0010600893494541,-0.01694363293853307,-955.223880597015,6.86299207035935,-1,False,False,-67.0,5.5909869805108565,1.0714601723049326,-_S3_CM
d3_41,41,3,5.983541354030787,0.0010167189956673,-0.016458645969213315,-3084.3373493975905,8.03441628186756,-1,False,False,-83.0,4.418840607796598,1.0406925994403955,-_S3_CM
d3_42,42,3,5.9849944390752565,0.000886997316604,-0.015005560924743477,1729.7297297297298,7.456298407647707,1,False,False,37.0,4.997212273764115,1.06581768475878,+_S3_real
d3_43,43,3,5.986973664625198,0.0008287577138746,-0.01302633537480169,-200.01822323462412,5.303395566808274,-1,False,False,-439.0,6.084499413075172,1.0986122886681098,-_S3_CM
d3_44,44,3,5.987455018583423,0.0007858717943453,-0.012544981416576562,-372.0677966101695,5.921760163476384,-1,False,False,-59.0,5.4638318050256105,0.9779377323109888,-_S3_CM
d3_45,45,3,5.987936064045695,0.0007430505588885,-0.012063935954304661,-1009.2873563218392,6.917990080579408,-1,False,False,-87.0,4.465908118654584,0.9348448455461976,-_S3_CM
d3_46,46,3,5.988897231030675,0.0006576141161666,-0.011102768969324828,1792.0,7.491645473605133,1,False,False,,3.8918202981106265,0.8095869160447127,+_C3_real
d3_47,47,3,5.98985716866923,0.0005724813818223,-0.010142831330769653,-2832.516129032258,7.949273667858255,-1,False,False,-31.0,3.4339872044851463,1.0986122886681098,-_S3_CM
d3_48,48,3,5.991326987252432,0.0005598288526754,-0.008673012747568265,-48.33038348082596,3.898540189000673,-1,False,False,-339.0,5.82600010738045,1.0986122886681098,-_S3_CM
d3_49,49,3,5.991804453895595,0.0005174719101613,-0.008195546104404983,-95.25581395348836,4.56700937605517,-1,False,False,-43.0,5.147494476813453,0.8583666967266905,-_S3_CM
d3_50,50,3,5.9922816167354735,0.0004751849131162,-0.007718383264526452,-277.6949152542373,5.630117689808507,-1,False,False,-59.0,4.07753744390572,0.7909857206389213,-_S3_CM
d4_1,1,4,7.9961734954642205,8.076061511204598e-05,-0.0038265045357794847,714.692197223552,6.5732501823846485,1,False,False,,10.940277627560896,1.3833252687389972,mixed_S_4
d4_2,2,4,7.9961739770681675,8.074058237660083e-05,-0.00382602293183254,961.596430744271,6.869634248929734,1,False,False,,9.889591447344017,1.3802987445013843,mixed_S_4
d4_3,3,4,7.996174463116837,8.072117114105952e-05,-0.0038255368831627834,1716.4142041221753,7.448575068916989,1,False,False,,8.300776960851454,1.377212263696573,mixed_S_4
d4_4,4,4,7.996175425801918,8.06810330422909e-05,-0.003824574198081798,1.8785799218617292,1.057297089855711,1,False,False,,10.289939721462362,1.3708484198747293,mixed_D_4
d4_5,5,4,7.9961759113965005,8.066155842460957e-05,-0.003824088603499476,-0.8195885456809154,0.5986104017284751,-1,False,False,,11.119408690377906,1.553817782659556,mixed_S_4
d4_6,6,4,7.996176397152495,8.064210658954233e-05,-0.0038236028475049366,-12.406551492035002,2.5957435047917823,-1,False,False,,11.698068038950884,1.688911988602114,mixed_S_4
d4_7,7,4,7.996193619770198,8.012742118785648e-05,-0.0038063802298022864,390.2219205972175,5.969274970837269,1,False,False,,10.06798452441753,1.3678080018099112,mixed_S_4
