
[INIT] script_sha256 = 99d2ce7ab28e16b70f298102e4f3be3bdd598e96b9b4c10c94b6ccfa28c18596
[ENUM] b1 in [5, 8, 9, 10]  a2 in -30..30 (excl 0)  free in -5..5  total=319440
[STAGE A] 044R strict cache-load mode (recompute disabled)
[STAGE A] cache load OK: 241892/319440 convergent (cached t_a=423.6s, load took 859ms); per-b1 integrity PASS against stage_a_summary.json
[STAGE B/C] PSLQ dps=150 N=600  h_max=1e+07  wall_budget=9000s  workers...
[STAGE B/C] dispatched 241892 tasks to 7 workers
  [BC] 193576/241892 (80.0%)  elapsed_bc=4222s  rate=45.9/s  eta_bc=1054s  wall_total=4223s/9000s
  [BC] 196965/241892 (81.4%)  elapsed_bc=4282s  rate=46.0/s  eta_bc=977s  wall_total=4283s/9000s
  [BC] 200385/241892 (82.8%)  elapsed_bc=4342s  rate=46.2/s  eta_bc=899s  wall_total=4343s/9000s
  [BC] 204025/241892 (84.3%)  elapsed_bc=4402s  rate=46.4/s  eta_bc=817s  wall_total=4403s/9000s
  [BC] 207441/241892 (85.8%)  elapsed_bc=4462s  rate=46.5/s  eta_bc=741s  wall_total=4463s/9000s
  [BC] 210757/241892 (87.1%)  elapsed_bc=4522s  rate=46.6/s  eta_bc=668s  wall_total=4523s/9000s
  [BC] 213997/241892 (88.5%)  elapsed_bc=4582s  rate=46.7/s  eta_bc=597s  wall_total=4583s/9000s
  [BC] 216097/241892 (89.3%)  elapsed_bc=4642s  rate=46.6/s  eta_bc=554s  wall_total=4643s/9000s
  [BC] 218157/241892 (90.2%)  elapsed_bc=4702s  rate=46.4/s  eta_bc=512s  wall_total=4703s/9000s
  [BC] 219978/241892 (90.9%)  elapsed_bc=4762s  rate=46.2/s  eta_bc=474s  wall_total=4763s/9000s
  [BC] 221836/241892 (91.7%)  elapsed_bc=4822s  rate=46.0/s  eta_bc=436s  wall_total=4823s/9000s
  [BC] 224581/241892 (92.8%)  elapsed_bc=4882s  rate=46.0/s  eta_bc=376s  wall_total=4883s/9000s
  [BC] 227650/241892 (94.1%)  elapsed_bc=4942s  rate=46.1/s  eta_bc=309s  wall_total=4943s/9000s
  [BC] 230804/241892 (95.4%)  elapsed_bc=5002s  rate=46.1/s  eta_bc=240s  wall_total=5003s/9000s
  [BC] 233975/241892 (96.7%)  elapsed_bc=5062s  rate=46.2/s  eta_bc=171s  wall_total=5063s/9000s
  [BC] 237105/241892 (98.0%)  elapsed_bc=5122s  rate=46.3/s  eta_bc=103s  wall_total=5123s/9000s
  [BC] 240324/241892 (99.4%)  elapsed_bc=5182s  rate=46.4/s  eta_bc=34s  wall_total=5183s/9000s
[STAGE B/C] collected 241892/241892 results in 5211.1s with 7 workers (budget_exceeded=False)
[STAGE D] deep-verify dps=300 N=1500  h_max=1e+07  wall_budget=9000s
  b1=8 [16, 0, 0, 8, 4]  ratio=1/4  n=None  bauer_on_orbit=False  residual=0.0
  b1=10 [-9, 0, 0, 10, 5]  ratio=-9/100  n=3  bauer_on_orbit=False  residual=0.0
[DONE] wall=5213.5s  outcome=OUTCOME_B_AT_H7
[OUT] C:\Users\shkub\OneDrive\Documents\archive\admin\VSCode\claude-chat\siarc-relay-bridge\sessions\2026-05-06\T2B-BZERO-OFFSET-LOG-SWEEP-REFIRE\results_b5_8_9_10.json
[CLAIMS] 10 entries -> C:\Users\shkub\OneDrive\Documents\archive\admin\VSCode\claude-chat\siarc-relay-bridge\sessions\2026-05-06\T2B-BZERO-OFFSET-LOG-SWEEP-REFIRE\claims.jsonl
