n,a_n_real
55,3529652315126029023990848218591617625950892213968.6917277316397402472255908487001078036787958629799753540363637603938572782108851213733779916123269752778772146044063721644473859576010569254224029257147139879877024545271550369746135029528853810734010525811117408454710048648934048563610581827842776064521373064065013109131742748666766492542346793731346
56,68730462372383001734987756839418040529091031619407.746984263330004512418286829287310485097495674162025904342598880158174202502018923870618694700865473717761543961449172098222411048762826545972392197860954257857363301742208382843965612295697349963280518085099970660561346122715703899264711047598162186153859762071817504127955515029989830609453934660921
57,1362607852437429665924284866542580451502477093089550.7663613277059449085212067481209359006945850917573438110985720255560336672993753448918413068093477157997121762293022333546793048782668982360675760881062113318550881259682171677839151653299683952746094379125778349247836151840955952883861112454631971072301405322279895257053108362449530982222806067033
58,27495357715150669430869295379385644810313572405445059.844440376311670986551437483986079284712507092904308179983634066944568103075178238222137066286796653942924410424265679685483144253256370091754397736098452473034834102366340754300276946656215217563897545226846642133445217257290752629575984066969484155763031547818721911189524703513657452320361014196
59,564523533647598467023870730866686558094068382867522740.24320331684358132017601775287138986839959108111982082677767661618242855963104060074486180883069920057446796263420414249613853759501897221437856503108408040256701060101345445270727161680797849216502320835370565481942448682003731353229400745605825249035121469032991279236317691649989700503088234817
60,11789916981543523666059196279967874616026286296089729319.395465864306785023246210570321788975768709943736216028228091923854902074730145386851477435730258380431159499413808018114814060177200376045442298010359190994067671660855663589150779535415391242897427597650284613516243893400924228170638034925540613582415063623877499393998097216842521825983971428
61,250392645023674942775941433842962906394722446451278610015.17334110097553018952450494054438728532656988105305243921824313678125441772499451592611229646364714258920896180807928363485528350466040752689439643001479630421561199449783860864675708421887180979483186753445268492798777399509042498975806312584363264756826772644091149823512482999137014023532203
62,5406232119277304722377039094504585590355407916608220585035.4740618643146846922115493976220894818755881963760812098045381039148621361880498740817327254038928871004849429969217404155713758092781497979620964579852114259195649763658487847037247642735643337147017937194680761239157969065526040476904546125096688097486702949220625146509846921196664857595926
63,118635360578156353617382818406405805492480061346966245375904.58490336897763356962152432189042894042295726185946697866160889385982733474148183991690866418710657151777046147463655334801494184288448598332345537364472156778172582329037323658418922168062405589974883899639459282957704628781164737573884655315576375773429834910505504510170496047413083509974
64,2645255946369412864634647333740809856034408019988443760747454.4406333150961862246309988150319646915161915465799900982461033708841105258768799549259184196508094599673663725245720901471194266994193598425280271315176270203297050817584289566926869876693205275738263714291520064886398804062722710168508989221859217802486845565325994270824708809359396112507
65,59916518432873086643190111054768517508252872480060410676795476.475912218770155208468155153891421506768248222216048890215751131045255092018071494495860414763816563147325784113446332318853284878590728382327445495309341925367909376082936004201090572028725033787970184452132168119263201559852580606270368823855115064027011424811016690831796085411703131692
66,1378305108056891163370201867294025434774050942158049676385193279.3882302397813058089806519992477162873908592399695013272131725844761881533582821240470026471428039903958457165418168599030973833965775734649940862071154607189683367910745845320332206267577426157582079098249239471171258029351811908302333756506054795440144042729444032661271285687546432564
67,32193032339279475813444159740436855818638141652958963833611784969.096244325405359194613683843187056358242658264301131815863503588698674830249523665725300132570837955849667135800999726480712316515191437691106174082180557752764243446551833391956927898284716745470382317042637938038541393305796731775475742401023417648808981115311969829977742398351405194
68,763303029664307104084684797286041576515719006558208058337610926071.48301764879103432844542901157001324784302731974140717415278583797781361720356575683278330897945482009479902252918008894966451183497268227824790975206334860867784230500141138451692284512948589585076466148132528958070997511664467431042947541101330117763580649131459138735935137082658719
69,18367685896941644822504774446577446143653320326106284206714219548129.946580393660587387085297137412280847744007881225537381566286249125754465312515453938661237953872876733898886749040276565419640597012089942324661663267440248506024881193337865134997400605411138730043356536397675743744840490305423664264120890839500693198162543737253669202242799853992
70,448477677406372179021156267921868448808903888052060016631846471596321.77435442630215242376109468514312404191008289792673472997983679048599888310357546567920865335826144462459801794174081197803531936986683475465446288487180803145018187522065676722189057894271581845839474201217367915826611240308967861207776350922775063328643338853586711220819008140345
71,11108755159295003243258803586259716023875823312641535683763587126015832.277500853597185121211312578893059142903484606583473626385295643346311991495291423331928888396303217709879776384907844493255760987702586120175449992166306777641264747466929462983800583851735227898929509605557789461801517308879953312022120463369808073153597421655863246903824611332
72,279087215911637841614991570489611872586703160484399852367193962929275924.42137587164925816109038439288737555110885444848672147671897336770307963379940765459167608588815974147778805374431451870676574784773391472874981149843986903356310500889769512949724347360965407013660895441671885385324320461062500288390203512544765642811354647930839529584228635692
