k,a_k
325,1.3499974115350606493313446774402110232306409785407565087106962406665234579252532e+557
326,1.8998659871597224395546526731845509624928061988342366175643212999234790144575644e+559
327,2.681928539969371553675337880168037181326872552920800890995356850646665819731375e+561
328,3.7975329609646761336867404329202519677868064630728186282553341040240153972961486e+563
329,5.3936400127842716483385562843708229874066571283570977964684757166385311146813028e+565
330,7.6839473475772022056043206113445136405559012394838440135775630358290353009254274e+567
331,1.098006244311705270871296840940012381286535708486819916295031667133881777726271e+570
332,1.5737627376424134197688064681537381499702448323287147772592457978849757779972443e+572
333,2.2624748563878523116125173281388101783877623028819937844912060105536218521755168e+574
334,3.262378752005079011438076573908230053063595067935426788352842474894017287185543e+576
335,4.7183178873339331093536611471302325953676087903847865726028387929622098821810505e+578
336,6.8444463064850713182993894094427377990580275509946302805435601212981705402554652e+580
337,9.9582696316550297769472017618242617965534442873974897587038957975144114269330581e+582
338,1.4531820724469197448864703375961194700512298588476735897614593389664895684926317e+585
339,2.1268798072122403652584239614324000455233651116482811318410588699499153206998058e+587
340,3.1221145249316299407951482218513405102145463406822097591718981497406451587373488e+589
341,4.5965702062018781841566693517641430249031310722960804035165267740348809920921009e+591
342,6.7872585839403105151471531540652068687490806643304454127564759397690759280273006e+593
343,1.005140073981275409926640296997851965520471705565475064589856389828627152772191e+596
344,1.4928864056453792088124765509217465152135126314286131926749317613958484748407826e+598
345,2.2237769765632144838050096086851862574809614576981923947486743405486039133997452e+600
346,3.3221276596075705902070076362439698122189435879985062766042896902202353747487377e+602
347,4.977352254694700941483799160855716420382156157087881811913664256978488014985068e+604
348,7.478832098154461576080179921454532336017863975887652489576121454033245985745652e+606
349,1.1269870557948873480847122734607623030755307337964139213586983622422531994467327e+609
350,1.7031395157882621479402304648402432099442738243525208965125788703716527108733102e+611
351,2.5812145858872780327301056150383256296521433085183997146632607037669230287069672e+613
352,3.9231691930474840710510838696752212729525591176431369908008915434562790041650783e+615
353,5.9797838169734013801190238604687714811485181372528857106471564835536471453551397e+617
354,9.1404155754973501826614921901565849477055670543819684414252689516799235680613771e+619
355,1.4011186943772672972681127439111798538469045456605279262302670787279041912829705e+622
356,2.1538178707802232941309495565063543444014138209195490319917985835967317314000301e+624
357,3.3202030263365861842738370381941669587050264884168709681187929507960059262872561e+626
358,5.1326127223998542440555360160033799644487961439708893156303319197278477370803871e+628
359,7.9565928249984668452585738074535974149366395666900366684744889217694003777664859e+630
360,1.2368788568978092172647723979074044510656844922883637320890887145927341330910117e+633
361,1.9281251635588694101257173644624278882305361201638782999865309659149405830284752e+635
362,3.0140326548673474473888613798129771174051641777573883389942890131231337347153163e+637
363,4.7245671465864500532525294940037443806353771041723206349754126185101387857269815e+639
364,7.4263279817580015554567666794684363846871699269053779851977904420012676829337453e+641
365,1.1705257123382469290167834289878944983262920030238276667879559269080158058219878e+644
366,1.8500320185789267636753279154443488776851783239985855844921416172520942284781306e+646
367,2.9320118852296767244247468501153321757311494966660267251966423217790562329762219e+648
368,4.6594768788791004591317527971104554293956500857081077866876638290265049679985955e+650
369,7.4248951364789394481057282958596272959062747711642191877091543265798960078891983e+652
370,1.1863750638605442370262061149346251454259684656547713962602410759797826944382692e+655
371,1.9007676321409969556266697704151103868875632728006369998660402511881278342804595e+657
372,3.0535722934398048561990215268667978992694772716683927630809774941824079555378581e+659
373,4.9187685820086804078167291487198778499638029481275930285969122179127655575059278e+661
374,7.9445708352061018914783024272969315646742757581541297889928369640623659497387716e+663
375,1.2866109369880239291312351969906728006320671264445116082466125912925826432522371e+666
376,2.0892176075690836656304065175718798979565574462989384871698635335974241641099626e+668
377,3.4015485107099416648727443085305844450406740189627757529160269839290954635720277e+670
378,5.5529420599085263916957694553093074569135602870837112325563317828724162091593534e+672
379,9.089082406950491295278512956381139990327602607023146341589410158168244125251829e+674
380,1.4916410499873728050672436135223851516490791082507257751413096685488327713862082e+677
381,2.4544431400187840249928992722841342929164227752540413994339960386683997643860483e+679
382,4.0493282239381678979066689380067157356959909519658813243007252555789507130650813e+681
383,6.6980957224533365978550995414538785445771929503912461713873744469187034521583648e+683
384,1.1108492016737495198182879570150394658237414940003673326291856134919111330382386e+686
385,1.8471037608493150376174289015450609954602201077221951963426779948001359539689652e+688
386,3.0793351586094400121800856898115620509793118220587360532624284627038927075780601e+690
387,5.1469409014733364569784657936689319569357161245580393148321435533104693681871537e+692
388,8.6251179106025137891188841584453297165834665182586077037472075328743359491980617e+694
389,1.4491109521660396287825498552026202150563617565618883167468163997756713658104464e+697
390,2.4409343034100110108289547602092651383914025008592732504845387906110117674030648e+699
391,4.1221664742065681182894963341983489545960197097651207171238099797925042065475957e+701
392,6.9792232697082875239668294892350134312577971663225867593744800797006061653504586e+703
393,1.1846715129056744722803514232022093060381863504518499466415553289660743763126313e+706
394,2.0160219723027718442985259551286188900243197966443054123901647619658954766808581e+708
395,3.439507235545839050330780545320302802590957638890538777914503128972774804077508e+710
396,5.8829891406979448196639663570353087516369701137044792823671657498106452696822299e+712
397,1.0087834201385166647223151507246545645825287853392727888000293888662739351816062e+715
398,1.7341758150276652122748661184089124456769626181762436335387770678367288947681981e+717
399,2.9886899259336677329000228364631860505972662780696759210658640492806497960501022e+719
400,5.1636690258103933562006638185281697283222417067204572211461795665191775942912285e+721
401,8.9438191982494004949296744597592345169159855393672004587785372372690930438523252e+723
402,1.5530018973466991700142406695475345521590559432547375305522291595124403945537817e+726
403,2.7033521485149265072651111545269388073510263774064142936135477875891428135777641e+728
