k,a_k
203,2.8241879881110104822655617296105490401699063831901167493201226846652791902624961e+257
204,1.4330101502197982283545078453475956749606070824412618689288367361200247175919503e+259
205,7.3070123380761742659762943419862411738608138737658606210578019003872417276168986e+260
206,3.7441641155193644652883525523107045828521693714706034165302811549250774567607165e+262
207,1.927897894817654406056719280403541668357246447476759186148255939286247814996817e+264
208,9.9750952876738348994703980067665953136027216529529987515887640258742989223630082e+265
209,5.1861348139297261874987970404442317013738731493593749542336503468881189628638676e+267
210,2.7092820995089153148455014054538508314316686056289068565318901105057137590355276e+269
211,1.4221269830474199359611109212810419220509794375194885933013945864409976565594375e+271
212,7.5004339560305420586539242333394670226809280194833443037141680095305965620286495e+272
213,3.9745549584605655742680779085400735084835530951061567077115278135496886247589208e+274
214,2.1160944580842143366677160092757891809898299391062389492773645701188079810867756e+276
215,1.1319218380388799010843517988680176920784275023610678566698852282493559623222386e+278
216,6.0830751381119349214821026828935754371177953269339400394727383004028349398638421e+279
217,3.2843230752829594247406338024158965806227689948569799233185488060805986227843401e+281
218,1.7814563823573201205637340386039502145106852976636998703879805458298931784269149e+283
219,9.7073774060149084329361194581380109375206143091613984694952397207509159036151655e+284
220,5.3139429533415418459677194670399800610710166960136112777288559444458695344390132e+286
221,2.9222074891201621591778457985108080632670724422698546384148991327034745721776765e+288
222,1.6142671830081819213233074566019760148402477781362527386896770119323078137853494e+290
223,8.9577944563036035525916364265354778667413178079257947478358924628508641570577922e+291
224,4.9932033633996155648793233359847479477286848818709555992944902757325492203999637e+293
225,2.7957682006074154675223745306339760762306554715552785119918933344743060023448438e+295
226,1.5723823099013402646666077024331679133235106650918206974822200432177686398314026e+297
227,8.882631239304537076693855521375156516490199018779104471379102749987607009357993e+298
228,5.0401458190807755910739065273007321930276996895326203130244491360550010615729926e+300
229,2.8724608571812374530286140361640920822855565571596557955888085459387506418977468e+302
230,1.6442442232846872834068347701121350326187690911159487675245088459362723174731227e+304
231,9.4530385487930664839984918850440108222382949284055452296902405351883593039405986e+305
232,5.4583479265019689650654419681996623921470732020381793257653573952390925477349885e+307
233,3.1653922693295343260651620062044779465058017040034265217762918392524612431399235e+309
234,1.8435814100953738647844416539189639691979337593361942667007124887413922145571509e+311
235,1.0783445735751155451104100443347274353199605902278226076560632712353037552206035e+313
236,6.3343974602988247656675945922266030024308615415606680204582911333426015782437683e+314
237,3.736781539749694273327978408908365187397099594717946998610663241920712360398956e+316
238,2.2137417148329528800315073567870179504018841996233953029126360121304892202598328e+318
239,1.3169985356235595079695822731483604520075699312298795387600967018495734326368782e+320
240,7.8680129365647186648773014654811105889233164281876015096082574319559261447246337e+321
241,4.7201810759947729691785994333743526401652407842841321554575827568475762477703706e+323
242,2.8435346746341514534207953704423236843053313968946258763709054462403813069044081e+325
243,1.7201138365823806910668534840330849589279487107680508795661975347889670214523827e+327
244,1.0448338167219027587857903057488250477825165511128082003082156628993292543067716e+329
245,6.3726675263356620458769518684187658978915052552456228213871395093057038882816882e+330
246,3.9027614931164061209403702748353551254260933975559614336834293333917936306942402e+332
247,2.3998949410682571630319113614974244993414114302541738064330950075055442319911279e+334
248,1.4817493176216506285029249334020500555344113779097352777669910109299519721219003e+336
249,9.1857031083657589070006784545785199160669166919879415517820534025466321762263216e+337
250,5.7173946294326649454842188667622224560971299516857615104011049390980257992303646e+339
251,3.57293422208961381924525272078152095624444221302315894723604730626868141834498e+341
252,2.2417439438821028007717010471475441174785714086508084344966556109229734327647779e+343
253,1.4121285182066770548766749308580040477580639352317577076276049836388689896830468e+345
254,8.9306451384359990472593285567576013036251485781554800743054152760441492328710838e+346
255,5.6702870217045515608147813942269429970055282511350936648068353154565690095889014e+348
256,3.6143825524400820338626018065153920748863176157387462641871686859385296669790182e+350
257,2.3129347030422700996499359086941015739172062228826062907471990310198550029186656e+352
258,1.4858883471394973823711459669911427792361372500471023041193416278273816760392688e+354
259,9.5828778167291568889601298030151716542235413182348033203119176612285599905720063e+355
260,6.2042053720043291690688044767947020358261259183299968046835659324162600866877702e+357
261,4.0322768449804319927948087545613180735882990063362842088504384068024173019060724e+359
262,2.6307649769432406204205844379897861814565536378665312302394803204319442775038865e+361
263,1.7229588873330257175959049330530418935296138499157727775979784456003279797909384e+363
264,1.1327200818470897480157869116034279823908163112422918098449441530434268856394179e+365
265,7.475131297303570106974168953267138510090061879537398038080608176082978275097754e+366
266,4.951734542838511627531443307970176500783369306041548686253771084054128187381085e+368
267,3.2925471262730570118589249772484063647328219394566993852613455568916408050491469e+370
268,2.1975391394371875029249540973201745857361156522513559778474841427173153806309867e+372
269,1.472194245913721507153587356031508480560259278809452886237917971123428254017235e+374
270,9.8994585271378557297060968328853305863494959948502373960637641091845244034348407e+375
271,6.6814325275695325519997798807789500290064769494232098906722083043240585225028095e+377
272,4.5261984784888062150453773738512059719612489491138378935793486066901295632250234e+379
273,3.0774963399541700078159799014326571828075485503103521118294890480770066021830651e+381
274,2.1001753929631052161652500886435209944367813063061456354390502430349780580749963e+383
