family_id,alpha_3,alpha_2,alpha_1,alpha_0,Delta_3,Delta_3_sign,abs_Delta_3,log_abs_Delta_3,absD_mod_8,absD_mod_12,absD_parity,smallest_prime_div,omega_Delta_3,Galois_group,splitting_field,CM_field,CM_disc,r1,r2,bin,conductor,class_number,class_number_plus,regulator,fund_unit_norm,unit_density,A_fit,A_stderr,alpha_fit,alpha_stderr,delta
26,1,-3,2,-1,-23,-1,23,3.1354942159291497,7,11,1,23,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-23})\ \text{imag.}",\mathbb{Q}(\sqrt{-23}),-23.0,1,1,-_S3_CM,,,,,,,5.996046592142761,0.001010365658973675,5.974801710448598,0.005719072119887758,-0.003953407857238744
27,1,-3,2,1,-23,-1,23,3.1354942159291497,7,11,1,23,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-23})\ \text{imag.}",\mathbb{Q}(\sqrt{-23}),-23.0,1,1,-_S3_CM,,,,,,,5.982262262427124,0.0064062958758637645,5.899689237989628,0.03626218667469475,-0.017737737572876
28,1,-3,2,2,-104,-1,104,4.6443908991413725,0,8,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-26})\ \text{imag.}",\mathbb{Q}(\sqrt{-26}),-26.0,1,1,-_S3_CM,,,,,,,5.995687880656372,0.0002312317862307237,5.973560987439623,0.0013028292293019576,-0.0043121193436279626
29,1,-3,2,3,-239,-1,239,5.476463551931511,7,11,1,239,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-239})\ \text{imag.}",\mathbb{Q}(\sqrt{-239}),-239.0,1,1,-_S3_CM,,,,,,,5.9962078880086,0.00018444761702308157,5.976654779718491,0.0010392331895623913,-0.003792111991399949
30,1,-3,3,-3,-108,-1,108,4.68213122712422,4,0,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-3})\ \text{imag.}",\mathbb{Q}(\sqrt{-3}),-3.0,1,1,-_S3_CM,,,,,,,6.024114769035808,0.013001144973845892,6.131119592738458,0.07359165969879643,0.024114769035808337
31,1,-3,3,1,-108,-1,108,4.68213122712422,4,0,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-3})\ \text{imag.}",\mathbb{Q}(\sqrt{-3}),-3.0,1,1,-_S3_CM,,,,,,,5.851579651243865,0.07360737202081045,5.185853590669263,0.4166470479311803,-0.14842034875613486
32,1,-3,3,2,-243,-1,243,5.493061443340548,3,3,1,3,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-3})\ \text{imag.}",\mathbb{Q}(\sqrt{-3}),-3.0,1,1,-_S3_CM,,,,,,,6.000488781658908,7.73454999199543e-05,6.002751620620644,0.0004357877422187195,0.0004887816589080884
33,1,-3,3,3,-432,-1,432,6.068425588244111,0,0,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-3})\ \text{imag.}",\mathbb{Q}(\sqrt{-3}),-3.0,1,1,-_S3_CM,,,,,,,6.001004306717515,0.00012398245511859002,6.0058191852403535,0.0006985543340825303,0.0010043067175153908
34,1,-2,-3,-3,-519,-1,519,6.251903883165888,7,3,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-519})\ \text{imag.}",\mathbb{Q}(\sqrt{-519}),-519.0,1,1,-_S3_CM,,,,,,,5.97811844316336,0.0013842353806745027,5.866854026809011,0.007799197262513055,-0.021881556836640392
35,1,-2,-3,-2,-244,-1,244,5.497168225293202,4,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-61})\ \text{imag.}",\mathbb{Q}(\sqrt{-61}),-61.0,1,1,-_S3_CM,,,,,,,5.978607750190536,0.0013402427428201137,5.869766551136475,0.0075513295475891,-0.021392249809464303
